Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV)
0.80000000000000004,-0.30057277234307456,0.0012451604013236858,-0.30181793274439822
0.80999999999999994,-0.30057274146105295,0.0011519328934866133,-0.30172467435453959
0.82000000000000006,-0.30057271277386371,0.0010605688399422653,-0.30163328161380598
0.82999999999999996,-0.30057268657789304,0.00097153339209648561,-0.30154421996998954
0.83999999999999997,-0.30057266307410535,0.0008852512273493507,-0.30145791430145469
0.84999999999999998,-0.30057264236075504,0.00080210352615581008,-0.30137474588691082
0.85999999999999999,-0.30057262443088761,0.00072242656227583578,-0.30129505099316345
0.87,-0.30057260917495299,0.00064651193953662027,-0.30121912111448962
0.88,-0.30057259638856948,0.00057460842911488382,-0.30114720481768437
0.89000000000000001,-0.30057258578518387,0.0005069252816324438,-0.3010795110668163
0.90000000000000002,-0.30057257701307155,0.00044363681283252109,-0.3010162138259041
0.90999999999999992,-0.3005725696758571,0.00038488799477446998,-0.30095745767063159
0.91999999999999993,-0.30057256335550958,0.00033080073046319456,-0.30090336408597279
0.93000000000000005,-0.30057255763660479,0.0002814804520460007,-0.3008540380886508
0.94000000000000006,-0.30057255213055184,0.00023702266366879229,-0.30080957479422066
0.94999999999999996,-0.30057254649846976,0.00019751905118872966,-0.30077006554965852
0.95999999999999996,-0.30057254047146292,0.00016306280239538097,-0.30073560327385829
0.96999999999999986,-0.30057253386718441,0.00013375282218652709,-0.30070628668937094
0.98000000000000009,-0.30057252660178302,0.00010969658512157055,-0.30068222318690457
0.98999999999999999,-0.30057251869657803,9.1011439774673505e-05,-0.30066353013635272
1.0,-0.30057251027911125,7.782426137160156e-05,-0.30065033454048284
1.01,-0.30057250157851945,7.0269436809015649e-05,-0.30064277101532844
1.02,-0.30057249291549093,6.8485254539313203e-05,-0.30064097817003022
1.03,-0.30057248468735337,7.2608856186437361e-05,-0.3006450935435398
1.04,-0.30057247734909454,8.2769982654474914e-05,-0.30065524733174903
1.05,-0.30057247139132692,9.9083810956674155e-05,-0.30067155520228361
1.0599999999999998,-0.30057246731634768,0.00012164322583522648,-0.30069411054218292
1.0700000000000001,-0.30057246561353057,0.00015051090018539882,-0.30072297651371599
1.0800000000000001,-0.30057246673529453,0.00018571156908824997,-0.30075817830438278
1.0900000000000001,-0.3005724710748352,0.00022722487370988755,-0.30079969594854511
1.0999999999999999,-0.30057247894668976,0.00027497912430942296,-0.30084745807099916
1.1099999999999999,-0.30057249057102492,0.00032884628795384809,-0.30090133685897874
1.1200000000000001,-0.30057250606232638,0.00038863844894876202,-0.30096114451127515
1.1300000000000001,-0.3005725254229174,0.00045410592180484811,-0.30102663134472224
1.1399999999999999,-0.30057254854147719,0.00052493712156706398,-0.30109748566304423
1.1499999999999999,-0.30057257519646896,0.00060076021855010639,-0.30117333541501906
1.1599999999999999,-0.30057260506415134,0.00068114652794370794,-0.30125375159209505
1.1700000000000002,-0.30057263773062437,0.00076561551312286861,-0.30133825324374724
1.1799999999999999,-0.30057267270720117,0.0008536412181228783,-0.30142631392532404
1.1899999999999999,-0.30057270944826264,0.00094465989230910891,-0.30151736934057177
1.2,-0.30057274737068274,0.0010380785307534186,-0.30161082590143617
1.2100000000000002,-0.30057278587389152,0.0011332840283985481,-0.3017060699022901
1.22,-0.3005728243596702,0.0012296526351228,-0.30180247699479301
1.23,-0.30057286225084578,0.0013265594019187773,-0.30189942165276457
1.24,-0.30057289900816136,0.0014233873244973905,-0.30199628633265874
1.25,-0.30057293414473707,0.0015195359180779492,-0.30209247006281503
1.26,-0.30057296723768595,0.0016144289938514478,-0.3021873962315374
1.27,-0.30057299793661657,0.0017075214512492604,-0.30228051938786582
1.28,-0.3005730259689095,0.001798304948223175,-0.3023713309171327
1.29,-0.30057305114181121,0.0018863123617638823,-0.30245936350357511
1.2999999999999998,-0.30057307334151795,0.0019711210005067758,-0.30254419434202473
1.3100000000000001,-0.30057309252953984,0.002052354578387055,-0.30262544710792688
1.3200000000000001,-0.30057310873672516,0.002129684001117709,-0.30270279273784284
1.3300000000000001,-0.30057312205538589,0.0022028270543503676,-0.30277594910973626
1.3399999999999999,-0.30057313263000512,0.0022715471127132745,-0.30284467974271839
1.3499999999999999,-0.30057314064701918,0.0023356510118775382,-0.30290879165889673
1.3600000000000001,-0.30057314632415677,0.0023949862411431844,-0.30296813256529997
1.3700000000000001,-0.30057314989978795,0.0024494376218761444,-0.30302258752166411
1.3799999999999999,-0.30057315162268905,0.0024989236378923354,-0.30307207526058139
1.3899999999999999,-0.30057315174257376,0.0025433925782591947,-0.30311654432083296
1.4000000000000001,-0.30057315050166689,0.0025828186418517681,-0.30315596914351867
1.4100000000000001,-0.30057314812753433,0.0026171981373819069,-0.30319034626491626
1.4199999999999999,-0.30057314482730246,0.0026465458936172376,-0.3032196907209197
1.4299999999999999,-0.30057314078333308,0.0026708919732463285,-0.30324403275657941
1.4399999999999999,-0.3005731361503528,0.0026902787614245943,-0.30326341491177738
1.4500000000000002,-0.30057313105398087,0.002704758477476395,-0.30327788953145729
1.46,-0.30057312559054328,0.0027143911364474129,-0.30328751672699067
1.47,-0.30057311982802748,0.0027192429669760641,-0.30329236279500355
1.48,-0.30057311380800672,0.0027193852739061299,-0.30329249908191286
1.49,-0.30057310754833233,0.0027148937186526204,-0.30328800126698496
1.5,-0.30057310104640378,0.0027058479778509299,-0.30327894902425473
1.51,-0.30057309428281076,0.0026923317313981131,-0.30326542601420886
1.52,-0.3005730872251649,0.0026744329246217646,-0.30324752014978668
1.53,-0.30057307983194859,0.0026522442458467924,-0.3032253240777954
1.5399999999999998,-0.30057307205623185,0.0026258637598293314,-0.30319893581606117
