tau,VACF
1.0000000000004198e-14,0.70128822651655764
1.00000000000044e-14,0.35816107259912855
1.0000000000004602e-14,0.61479955963496979
1.0000000000004804e-14,0.44261840449377204
1.0000000000005006e-14,0.69637115994011956
1.0000000000005208e-14,0.34948590619785841
1.000000000000541e-14,0.51924995567972143
1.9999999999999763e-14,0.04549802221148793
1.9999999999999814e-14,0.27335709810383718
1.9999999999999864e-14,0.2754249778107758
1.9999999999999915e-14,0.41482449306334979
1.999999999999994e-14,0.094032149899539369
1.9999999999999965e-14,0.28141315980563975
1.9999999999999991e-14,0.1427530074137017
1.9999999999999997e-14,0.1211496873298932
2e-14,0.10489502047838302
2.0000000000000003e-14,0.22145743804738033
2.0000000000000016e-14,0.43159319818937442
2.0000000000000028e-14,0.049025581936956719
2.0000000000000041e-14,0.048662117715989509
2.0000000000000117e-14,0.090129738615408378
2.0000000000000218e-14,0.13480216875100162
2.0000000000000319e-14,0.089597690992524889
2.000000000000042e-14,0.089371299755974742
2.0000000000000521e-14,0.13360603319301223
2.0000000000000622e-14,0.088746812335840364
2.0000000000000723e-14,0.088463426669206466
2.0000000000000824e-14,0.13210247902903144
2.0000000000000925e-14,0.087619138116528661
2.0000000000001025e-14,0.13062479900882856
2.0000000000001126e-14,0.086436610279193013
2.0000000000001227e-14,0.085787620192055949
2.0000000000001328e-14,0.12703593885515449
2.0000000000001429e-14,0.083042190612999417
2.000000000000153e-14,0.080599786069124518
2.0000000000001631e-14,0.1551391619645294
2.0000000000001732e-14,0.29781363234922176
2.0000000000001934e-14,0.15388849742052255
2.0000000000002136e-14,0.24175819517573086
2.0000000000002338e-14,0.23781339961939613
2.000000000000254e-14,0.24016072293141166
2.0000000000002742e-14,0.21740216993506598
2.0000000000002944e-14,0.23181632240154759
2.0000000000003146e-14,0.30548393243102995
2.0000000000003348e-14,0.23028597424628255
2.000000000000355e-14,0.303034278876052
2.0000000000003752e-14,0.22807785735804123
2.0000000000003954e-14,0.30877632020941115
2.0000000000004156e-14,0.22510569145732218
2.0000000000004358e-14,0.30461895810063383
2.000000000000456e-14,0.22264530312693909
2.0000000000004762e-14,0.30606367893755609
2.0000000000004963e-14,0.21988866651942446
2.0000000000005165e-14,0.30303986654969706
2.0000000000005367e-14,0.21660452288951604
2.0000000000005569e-14,0.043020454950414878
2.9999999999999771e-14,0.061350880122244454
2.9999999999999822e-14,0.15436917066758929
2.9999999999999872e-14,0.24882110298815463
2.9999999999999923e-14,0.22309824848337137
2.9999999999999948e-14,0.098404571464980051
2.9999999999999973e-14,0.25460742375459888
2.9999999999999998e-14,0.35390928907775893
3.0000000000000005e-14,0.038320803184361471
3.0000000000000011e-14,0.14261338833714443
3.0000000000000024e-14,0.13981583077228538
3.0000000000000036e-14,0.035433894089533922
3.0000000000000074e-14,0.060320382127613426
3.0000000000000175e-14,0.089957356539449237
3.0000000000000276e-14,0.0596131722769647
3.0000000000000377e-14,0.059315030710192243
3.0000000000000478e-14,0.088382839512462244
3.0000000000000579e-14,0.058501506009388742
3.000000000000068e-14,0.058136685696020061
3.0000000000000781e-14,0.086449233446085502
3.0000000000000882e-14,0.057066153042387262
3.0000000000000983e-14,0.084600254576966225
3.0000000000001084e-14,0.0556102196239412
3.0000000000001185e-14,0.054834907028679242
3.0000000000001286e-14,0.080355882880574048
3.0000000000001387e-14,0.051781179196103769
3.0000000000001488e-14,0.049440352244051633
3.0000000000001589e-14,0.084213606247411907
3.000000000000169e-14,0.21726859428255177
3.0000000000001791e-14,0.026250433112138399
3.0000000000001892e-14,0.092928538625374424
3.0000000000002094e-14,0.15134235770459409
3.0000000000002296e-14,0.16892833303572277
3.0000000000002497e-14,0.17317053852242512
3.0000000000002699e-14,0.13084308446336293
3.0000000000002901e-14,0.17833074060290854
3.0000000000003103e-14,0.15826750656211233
3.0000000000003305e-14,0.20059333057331483
3.0000000000003507e-14,0.12499943288179143
3.0000000000003709e-14,0.22635642632049269
3.0000000000003911e-14,0.15254354359650604
3.0000000000004113e-14,0.20108741762779977
3.0000000000004315e-14,0.11908768825644217
3.0000000000004517e-14,0.22560160480543828
3.0000000000004719e-14,0.14548173444323684
3.0000000000004921e-14,0.19711781708574469
3.0000000000005123e-14,0.11340967742856933
3.0000000000005325e-14,0.22109854023493991
3.0000000000005527e-14,0.027521149484159922
3.9999999999999779e-14,0.046646057523266775
3.999999999999983e-14,0.16400903356679489
3.999999999999988e-14,0.14430094308940672
3.9999999999999931e-14,0.24183160225915781
3.9999999999999956e-14,0.10302856941872053
3.9999999999999981e-14,0.10323885007370687
3.9999999999999994e-14,0.068778902406574902
4e-14,0.11953562507818051
4.0000000000000006e-14,0.23828738065358832
4.0000000000000019e-14,0.05921592158833576
