Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
1.34,-1.09802361165,0.00875548294055,-1.1067790946,-111.480005477
1.35,-1.09802366711,0.00890424240935,-1.10692790952,-119.286141506
1.36,-1.09802373064,0.00905924294591,-1.10708297359,-126.699430616
1.37,-1.09802380127,0.00921950011443,-1.10724330138,-133.707240559
1.38,-1.0980238778,0.00938391729568,-1.1074077951,-140.298914234
1.39,-1.0980239589,0.00955130423512,-1.10757526313,-146.465890313
1.4,-1.09802404305,0.00972039834374,-1.10774444139,-152.201785607
1.41,-1.09802412867,0.00988988814151,-1.10791401681,-157.502437922
1.42,-1.09802421413,0.0100584381758,-1.10808265231,-162.365909415
1.43,-1.09802429779,0.0102247147126,-1.1082490125,-166.792451654
1.44,-1.09802437806,0.0103874114869,-1.10841178954,-170.784434693
1.45,-1.09802445341,0.0105452748096,-1.10856972822,-174.346243459
1.46,-1.09802452247,0.0106971273551,-1.10872164983,-177.484145494
1.47,-1.09802458402,0.0108418900019,-1.10886647402,-180.206134741
1.48,-1.098024637,0.010978601156,-1.10900323816,-182.52175643
1.49,-1.09802468062,0.0111064330569,-1.10913111367,-184.441918318
1.5,-1.09802471428,0.0112247046482,-1.10924941893,-185.978693572
1.51,-1.09802473767,0.0113328906759,-1.10935762835,-187.145120385
1.52,-1.09802475074,0.0114306267765,-1.10945537751,-187.955003133
1.53,-1.09802475368,0.0115177104082,-1.10954246409,-188.422719422
1.54,-1.09802474696,0.0115940975846,-1.10961884455,-188.56303685
1.55,-1.09802473132,0.0116598954744,-1.10968462679,-188.390942709
1.56,-1.09802470769,0.0117153510412,-1.10974005873,-187.921489203
1.57,-1.09802467724,0.0117608360073,-1.10978551325,-187.169656108
1.58,-1.09802464132,0.0117968285393,-1.10982146986,-186.150232142
1.59,-1.0980246014,0.0118238921616,-1.10984849356,-184.877715707
1.6,-1.09802455905,0.0118426525058,-1.10986721156,-183.366235061
1.61,-1.0980245159,0.0118537725982,-1.10987828849,-181.6294875
1.62,-1.09802447354,0.0118579274589,-1.109882401,-179.680696655
1.63,-1.09802443354,0.0118557788435,-1.10988021238,-177.532586692
1.64,-1.09802439731,0.0118479509784,-1.10987234829,-175.197371974
1.65,-1.09802436613,0.011835008138,-1.10985937427,-172.686760633
1.66,-1.09802434105,0.0118174348638,-1.10984177591,-170.011970565
1.67,-1.09802432285,0.0117956195503,-1.1098199424,-167.183756532
1.68,-1.09802431207,0.0117698420002,-1.10979415407,-164.212448019
1.69,-1.0980243089,0.0117402654063,-1.10976457431,-161.108001862
1.7,-1.09802431327,0.0117069330404,-1.10973124631,-157.880076094
1.71,-1.09802432477,0.0116697697329,-1.10969409451,-154.537856179
1.72,-1.09802434275,0.0116285880313,-1.10965293078,-151.090118547
1.73,-1.09802436628,0.0115830987203,-1.109607465,-147.545802539
1.74,-1.09802439424,0.0115329252075,-1.10955731945,-143.913311853
1.75,-1.09802442537,0.0114776211179,-1.10950204648,-140.20142422
1.76,-1.09802445827,0.0114166903149,-1.10944114858,-136.418542053
1.77,-1.09802449154,0.0113496084825,-1.10937410002,-132.573022345
1.78,-1.09802452378,0.0112758453601,-1.10930036914,-128.673202869
1.79,-1.09802455365,0.0111948867286,-1.10921944038,-124.727401444
1.8,-1.09802457996,0.0111062552893,-1.10913083525,-120.743927332
1.81,-1.09802460165,0.0110095296661,-1.10903413131,-116.731089322
1.82,-1.09802461787,0.0109043608741,-1.10892897874,-112.69720033
1.83,-1.09802462798,0.0107904857396,-1.10881511372,-108.650579753
1.84,-1.0980246316,0.0106677369078,-1.1086923685,-104.599514697
1.85,-1.09802462853,0.0105360492386,-1.10856067777,-100.552110787
1.86,-1.09802461884,0.0103954625412,-1.10842008138,-96.5164668977
1.87,-1.0980246028,0.0102461207519,-1.10827072355,-92.500804728
1.88,-1.09802458085,0.010088267786,-1.10811284864,-88.513014146
1.89,-1.09802455362,0.00992224040796,-1.10794679403,-84.5608529186
1.9,-1.09802452186,0.00974845855137,-1.10777298041,-80.6520922642
1.91,-1.09802448639,0.00956741358441,-1.10759189998,-76.7942406165
1.92,-1.09802444814,0.00937965505768,-1.1074041032,-72.9945350636
1.93,-1.09802440803,0.00918577648844,-1.10721018452,-69.2599423573
1.94,-1.09802436698,0.00898640073392,-1.10701076772,-65.5971206892
1.95,-1.09802432589,0.00878216548723,-1.10680649138,-62.0123832314
1.96,-1.09802428556,0.00857370939575,-1.10659799496,-58.5116643854
1.97,-1.09802424674,0.00836165925744,-1.10638590599,-55.1004881175
1.98,-1.09802421002,0.00814661869727,-1.10617082872,-51.7839385369
1.99,-1.09802417589,0.007929158666,-1.10595333456,-48.5666331598
2.0,-1.0980241447,0.00770981003921,-1.10573395474,-45.4526995297
2.01,-1.09802411661,0.00748905852527,-1.10551317513,-42.4457564845
2.02,-1.09802409165,0.00726734201957,-1.10529143367,-39.5489038927
2.03,-1.0980240697,0.00704505046595,-1.10506912016,-36.7647357747
2.04,-1.09802405045,0.00682252820832,-1.10484657866,-34.0952885617
2.05,-1.09802403349,0.00660007873287,-1.10462411222,-31.5416754896
2.06,-1.09802401826,0.00637797161757,-1.10440198988,-29.1046187951
2.07,-1.09802400411,0.00615645142002,-1.10418045553,-26.7842206246
2.08,-1.09802399029,0.00593574815065,-1.10395973844,-24.5804269805
2.09,-1.09802397604,0.00571608889849,-1.10374006494,-22.4922244799
2.1,-1.09802396056,0.00549771010512,-1.10352167066,-20.5181601965
2.11,-1.09802394309,0.00528086992411,-1.10330481301,-18.6563690263
2.12,-1.09802392294,0.00506586006273,-1.103089783,-16.904399906
2.13,-1.09802389952,0.00485301648608,-1.10287691601,-15.2593032724
2.14,-1.0980238724,0.00464272837443,-1.10266660077,-13.7176672976
2.15,-1.0980238413,0.00443544476716,-1.10245928607,-12.9881914063
2.16,-1.09802380616,0.00423167840233,-1.10225548457,-11.5759015338
2.17,-1.09802376714,0.00403200637043,-1.10205577351,-10.2575702646
2.18,-1.09802372461,0.00383706734069,-1.10186079195,-9.02837043586
2.19,-1.09802367916,0.00364755528448,-1.10167123445,-7.88315986196
2.2,-1.09802363159,0.00346420980483,-1.1014878414,-6.81652419089
2.21,-1.09802358286,0.00328780337338,-1.10131138623,-5.8228301259
2.22,-1.09802353405,0.00311912596603,-1.10114266002,-4.89620207114
2.23,-1.09802348633,0.00295896776165,-1.10098245409,-4.03031994202
2.24,-1.09802344087,0.0028081007129,-1.10083154158,-3.21912371738
2.25,-1.09802339882,0.00266725990182,-1.10069065872,-2.45616058338
2.26,-1.09802336119,0.00253712564573,-1.10056048683,-1.73531194249
2.27,-1.09802332886,0.0024183073134,-1.10044163617,-1.05020733883
2.28,-1.09802330247,0.00231132974546,-1.10033463222,-0.394573839363
2.29,-1.09802328243,0.00221662304625,-1.10023990548,0.237777527702
2.3,-1.09802326886,0.00213451633345,-1.10015778519,0.8529297385
2.31,-1.0980232616,0.00206523580703,-1.10008849741,1.45684304271
2.32,-1.09802326022,0.00200890724394,-1.10003216747,2.05533720931
2.33,-1.09802326405,0.00196556275605,-1.09998882681,2.6541095104
2.34,-1.09802327222,0.00193515138593,-1.0999584236,3.25867793156
2.35,-1.09802328369,0.00191755287477,-1.09994083656,3.87444164937
2.36,-1.09802329736,0.00191259373807,-1.0999358911,4.50657038579
2.37,-1.09802331211,0.00192006464078,-1.09994337675,5.16004356968
2.38,-1.09802332689,0.00193973798615,-1.09996306487,5.83933772423
2.39,-1.09802334074,0.00197138462609,-1.09999472537,6.54869609486
2.4,-1.09802335292,0.00201478866706,-1.10003814159,7.29221051227
2.41,-1.09802336289,0.0020697594787,-1.10009312237,8.07371596237
2.42,-1.09802337037,0.00213614020393,-1.10015951057,8.89667555384
2.43,-1.09802337534,0.00221381230395,-1.10023718765,9.76427234972
2.44,-1.09802337806,0.00230269593471,-1.100326074,10.6794245185
2.45,-1.09802337902,0.00240274622253,-1.10042612524,11.644769449
2.46,-1.0980233789,0.0025139457684,-1.10053732467,12.6626723859
2.47,-1.09802337855,0.00263629394526,-1.1006596725,13.7352364596
2.48,-1.09802337892,0.00276979374402,-1.10079317266,14.8643134329
2.49,-1.09802338098,0.00291443706224,-1.10093781804,16.0515176869
2.5,-1.09802338567,0.00307018940531,-1.10109357508,17.2982479706
2.51,-1.09802339386,0.00323697498153,-1.10126036884,18.6057191517
2.52,-1.09802340627,0.00341466312148,-1.10143806939,19.9749796264
2.53,-1.09802342342,0.00360305684459,-1.10162648026,21.4068683917
2.54,-1.09802344564,0.00380188424224,-1.10182532988,22.9019627153
2.55,-1.09802347301,0.00401079315871,-1.10203426617,24.4606249978
2.56,-1.09802350541,0.00422934944469,-1.10225285486,26.0830702334
2.57,-1.09802354247,0.00445703884581,-1.10248058131,27.7693774615
2.58,-1.09802358362,0.00469327238605,-1.102716856,29.5194907111
2.59,-1.09802362813,0.00493739492404,-1.10296102306,31.3332252331
2.6,-1.09802367515,0.00518869640937,-1.10321237156,33.2102751179
2.61,-1.09802372372,0.00544642525199,-1.10347014897,35.1502201633
2.62,-1.09802377286,0.00570980314437,-1.103733576,37.1525314177
2.63,-1.09802382157,0.0059780406427,-1.10400186221,39.2165751998
